Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01000062,Migrant from within the UK: Address one year ago was in the UK,162
E01000062,Migrant from outside the UK: Address one year ago was outside the UK,28
E01000063,Does not apply,18
E01000063,Address one year ago is the same as the address of enumeration,1641
E01000063,Address one year ago is student term-time or boarding school address in the UK,2
E01000063,Migrant from within the UK: Address one year ago was in the UK,103
E01000063,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000064,Does not apply,32
E01000064,Address one year ago is the same as the address of enumeration,2036
E01000064,Address one year ago is student term-time or boarding school address in the UK,3
E01000064,Migrant from within the UK: Address one year ago was in the UK,207
E01000064,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000065,Does not apply,22
E01000065,Address one year ago is the same as the address of enumeration,1810
E01000065,Address one year ago is student term-time or boarding school address in the UK,1
E01000065,Migrant from within the UK: Address one year ago was in the UK,130
E01000065,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000066,Does not apply,21
E01000066,Address one year ago is the same as the address of enumeration,2260
E01000066,Address one year ago is student term-time or boarding school address in the UK,1
E01000066,Migrant from within the UK: Address one year ago was in the UK,143
E01000066,Migrant from outside the UK: Address one year ago was outside the UK,76
E01000067,Does not apply,25
E01000067,Address one year ago is the same as the address of enumeration,2086
E01000067,Address one year ago is student term-time or boarding school address in the UK,4
E01000067,Migrant from within the UK: Address one year ago was in the UK,98
E01000067,Migrant from outside the UK: Address one year ago was outside the UK,23
E01000068,Does not apply,26
E01000068,Address one year ago is the same as the address of enumeration,1614
E01000068,Address one year ago is student term-time or boarding school address in the UK,2
E01000068,Migrant from within the UK: Address one year ago was in the UK,126
E01000068,Migrant from outside the UK: Address one year ago was outside the UK,27
E01000069,Does not apply,17
E01000069,Address one year ago is the same as the address of enumeration,1960
E01000069,Address one year ago is student term-time or boarding school address in the UK,2
E01000069,Migrant from within the UK: Address one year ago was in the UK,102
E01000069,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000070,Does not apply,28
E01000070,Address one year ago is the same as the address of enumeration,1913
E01000070,Address one year ago is student term-time or boarding school address in the UK,4
E01000070,Migrant from within the UK: Address one year ago was in the UK,105
E01000070,Migrant from outside the UK: Address one year ago was outside the UK,23
E01000071,Does not apply,25
E01000071,Address one year ago is the same as the address of enumeration,2401
E01000071,Address one year ago is student term-time or boarding school address in the UK,3
E01000071,Migrant from within the UK: Address one year ago was in the UK,162
E01000071,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000072,Does not apply,22
E01000072,Address one year ago is the same as the address of enumeration,1947
E01000072,Address one year ago is student term-time or boarding school address in the UK,4
E01000072,Migrant from within the UK: Address one year ago was in the UK,159
E01000072,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000073,Does not apply,29
E01000073,Address one year ago is the same as the address of enumeration,1691
E01000073,Address one year ago is student term-time or boarding school address in the UK,3
E01000073,Migrant from within the UK: Address one year ago was in the UK,117
E01000073,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000074,Does not apply,17
E01000074,Address one year ago is the same as the address of enumeration,1606
E01000074,Address one year ago is student term-time or boarding school address in the UK,2
E01000074,Migrant from within the UK: Address one year ago was in the UK,126
E01000074,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000075,Does not apply,41
E01000075,Address one year ago is the same as the address of enumeration,1868
E01000075,Address one year ago is student term-time or boarding school address in the UK,7
E01000075,Migrant from within the UK: Address one year ago was in the UK,151
E01000075,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000076,Does not apply,25
E01000076,Address one year ago is the same as the address of enumeration,1973
E01000076,Address one year ago is student term-time or boarding school address in the UK,3
E01000076,Migrant from within the UK: Address one year ago was in the UK,144
E01000076,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000077,Does not apply,19
E01000077,Address one year ago is the same as the address of enumeration,1572
E01000077,Address one year ago is student term-time or boarding school address in the UK,2
