Lower layer Super Output Areas Code,Over 30 with no qualifications,Observation
E01000644,Over 30 no qualifications,263
E01000645,Over 30 no qualifications,84
E01000646,Over 30 no qualifications,137
E01000647,Over 30 no qualifications,126
E01000648,Over 30 no qualifications,129
E01000649,Over 30 no qualifications,138
E01000650,Over 30 no qualifications,149
E01000651,Over 30 no qualifications,171
E01000652,Over 30 no qualifications,173
E01000653,Over 30 no qualifications,131
E01000654,Over 30 no qualifications,126
E01000655,Over 30 no qualifications,136
E01000656,Over 30 no qualifications,179
E01000657,Over 30 no qualifications,211
E01000658,Over 30 no qualifications,215
E01000659,Over 30 no qualifications,137
E01000661,Over 30 no qualifications,367
E01000662,Over 30 no qualifications,214
E01000663,Over 30 no qualifications,230
E01000664,Over 30 no qualifications,191
E01000665,Over 30 no qualifications,186
E01000666,Over 30 no qualifications,210
E01000667,Over 30 no qualifications,173
E01000668,Over 30 no qualifications,194
E01000669,Over 30 no qualifications,138
E01000670,Over 30 no qualifications,108
E01000671,Over 30 no qualifications,174
E01000672,Over 30 no qualifications,147
E01000673,Over 30 no qualifications,76
E01000674,Over 30 no qualifications,156
E01000676,Over 30 no qualifications,177
E01000677,Over 30 no qualifications,113
E01000678,Over 30 no qualifications,124
E01000679,Over 30 no qualifications,147
E01000680,Over 30 no qualifications,166
E01000681,Over 30 no qualifications,117
E01000682,Over 30 no qualifications,186
E01000683,Over 30 no qualifications,176
E01000684,Over 30 no qualifications,138
E01000685,Over 30 no qualifications,175
E01000686,Over 30 no qualifications,163
E01000687,Over 30 no qualifications,182
E01000688,Over 30 no qualifications,115
E01000689,Over 30 no qualifications,196
E01000690,Over 30 no qualifications,108
E01000691,Over 30 no qualifications,204
E01000692,Over 30 no qualifications,155
E01000693,Over 30 no qualifications,222
E01000694,Over 30 no qualifications,190
E01000695,Over 30 no qualifications,133
E01000696,Over 30 no qualifications,152
E01000697,Over 30 no qualifications,107
E01000698,Over 30 no qualifications,102
E01000699,Over 30 no qualifications,119
E01000700,Over 30 no qualifications,136
E01000701,Over 30 no qualifications,100
E01000702,Over 30 no qualifications,90
E01000703,Over 30 no qualifications,100
E01000704,Over 30 no qualifications,139
E01000705,Over 30 no qualifications,111
E01000706,Over 30 no qualifications,159
E01000707,Over 30 no qualifications,80
E01000708,Over 30 no qualifications,133
E01000709,Over 30 no qualifications,148
E01000710,Over 30 no qualifications,119
E01000711,Over 30 no qualifications,179
E01000712,Over 30 no qualifications,136
E01000713,Over 30 no qualifications,92
E01000714,Over 30 no qualifications,167
E01000715,Over 30 no qualifications,158
E01000716,Over 30 no qualifications,149
E01000717,Over 30 no qualifications,124
E01000718,Over 30 no qualifications,178
E01000719,Over 30 no qualifications,258
E01000720,Over 30 no qualifications,264
E01000721,Over 30 no qualifications,238
E01000722,Over 30 no qualifications,240
E01000723,Over 30 no qualifications,229
E01000724,Over 30 no qualifications,235
E01000725,Over 30 no qualifications,222
E01000726,Over 30 no qualifications,196
E01000727,Over 30 no qualifications,233
E01000728,Over 30 no qualifications,277
E01000729,Over 30 no qualifications,261
E01000730,Over 30 no qualifications,274
E01000731,Over 30 no qualifications,181
E01000732,Over 30 no qualifications,188
E01000733,Over 30 no qualifications,211
E01000734,Over 30 no qualifications,126
E01000735,Over 30 no qualifications,221
E01000736,Over 30 no qualifications,196
E01000737,Over 30 no qualifications,185
E01000738,Over 30 no qualifications,259
E01000739,Over 30 no qualifications,269
E01000741,Over 30 no qualifications,130
E01000742,Over 30 no qualifications,202
E01000743,Over 30 no qualifications,316
E01000744,Over 30 no qualifications,240
E01000745,Over 30 no qualifications,155
E01000746,Over 30 no qualifications,150
E01000747,Over 30 no qualifications,273
E01000748,Over 30 no qualifications,269
E01000749,Over 30 no qualifications,210
E01000750,Over 30 no qualifications,265
E01000751,Over 30 no qualifications,193
E01000752,Over 30 no qualifications,217
E01000753,Over 30 no qualifications,157
E01000754,Over 30 no qualifications,153
E01000755,Over 30 no qualifications,124
E01000756,Over 30 no qualifications,165
E01000757,Over 30 no qualifications,144
E01000758,Over 30 no qualifications,97
E01000759,Over 30 no qualifications,147
E01000760,Over 30 no qualifications,171
E01000761,Over 30 no qualifications,128
E01000762,Over 30 no qualifications,123
E01000763,Over 30 no qualifications,118
E01000764,Over 30 no qualifications,183
E01000765,Over 30 no qualifications,158
E01000766,Over 30 no qualifications,131
E01000767,Over 30 no qualifications,128
E01000768,Over 30 no qualifications,108
E01000769,Over 30 no qualifications,137
E01000770,Over 30 no qualifications,115
E01000771,Over 30 no qualifications,132
E01000772,Over 30 no qualifications,167
E01000773,Over 30 no qualifications,137
E01000774,Over 30 no qualifications,160
E01000775,Over 30 no qualifications,193
E01000777,Over 30 no qualifications,127
E01000778,Over 30 no qualifications,191
E01000779,Over 30 no qualifications,153
E01000780,Over 30 no qualifications,211
E01000781,Over 30 no qualifications,201
E01000782,Over 30 no qualifications,270
E01000783,Over 30 no qualifications,228
E01000784,Over 30 no qualifications,139
E01000785,Over 30 no qualifications,230
E01000786,Over 30 no qualifications,160
E01000787,Over 30 no qualifications,260
E01000788,Over 30 no qualifications,202
E01000789,Over 30 no qualifications,215
E01000790,Over 30 no qualifications,179
E01000791,Over 30 no qualifications,212
E01000792,Over 30 no qualifications,145
E01000793,Over 30 no qualifications,168
E01000794,Over 30 no qualifications,153
E01000795,Over 30 no qualifications,179
E01000796,Over 30 no qualifications,218
E01000797,Over 30 no qualifications,99
E01000798,Over 30 no qualifications,235
E01000799,Over 30 no qualifications,175
E01000800,Over 30 no qualifications,168
E01000801,Over 30 no qualifications,167
