Lower layer Super Output Areas Code,Age (4 categories),Observation
E01000131,Aged 16 to 20 years,74
E01000131,Aged 21 to 29 years,290
E01000131,Aged 30 years and over,1237
E01000132,Aged 15 years and under,409
E01000132,Aged 16 to 20 years,99
E01000132,Aged 21 to 29 years,214
E01000132,Aged 30 years and over,896
E01000133,Aged 15 years and under,369
E01000133,Aged 16 to 20 years,100
E01000133,Aged 21 to 29 years,196
E01000133,Aged 30 years and over,980
E01000134,Aged 15 years and under,406
E01000134,Aged 16 to 20 years,125
E01000134,Aged 21 to 29 years,243
E01000134,Aged 30 years and over,1047
E01000135,Aged 15 years and under,312
E01000135,Aged 16 to 20 years,78
E01000135,Aged 21 to 29 years,207
E01000135,Aged 30 years and over,1103
E01000136,Aged 15 years and under,314
E01000136,Aged 16 to 20 years,69
E01000136,Aged 21 to 29 years,113
E01000136,Aged 30 years and over,987
E01000137,Aged 15 years and under,411
E01000137,Aged 16 to 20 years,94
E01000137,Aged 21 to 29 years,198
E01000137,Aged 30 years and over,955
E01000138,Aged 15 years and under,286
E01000138,Aged 16 to 20 years,72
E01000138,Aged 21 to 29 years,196
E01000138,Aged 30 years and over,1064
E01000139,Aged 15 years and under,239
E01000139,Aged 16 to 20 years,59
E01000139,Aged 21 to 29 years,188
E01000139,Aged 30 years and over,901
E01000140,Aged 15 years and under,331
E01000140,Aged 16 to 20 years,78
E01000140,Aged 21 to 29 years,328
E01000140,Aged 30 years and over,1220
E01000141,Aged 15 years and under,298
E01000141,Aged 16 to 20 years,89
E01000141,Aged 21 to 29 years,313
E01000141,Aged 30 years and over,1164
E01000142,Aged 15 years and under,429
E01000142,Aged 16 to 20 years,101
E01000142,Aged 21 to 29 years,296
E01000142,Aged 30 years and over,1408
E01000143,Aged 15 years and under,358
E01000143,Aged 16 to 20 years,126
E01000143,Aged 21 to 29 years,251
E01000143,Aged 30 years and over,938
E01000144,Aged 15 years and under,311
E01000144,Aged 16 to 20 years,65
E01000144,Aged 21 to 29 years,222
E01000144,Aged 30 years and over,1062
E01000145,Aged 15 years and under,433
E01000145,Aged 16 to 20 years,119
E01000145,Aged 21 to 29 years,192
E01000145,Aged 30 years and over,871
E01000146,Aged 15 years and under,283
E01000146,Aged 16 to 20 years,76
E01000146,Aged 21 to 29 years,324
E01000146,Aged 30 years and over,1192
E01000147,Aged 15 years and under,303
E01000147,Aged 16 to 20 years,115
E01000147,Aged 21 to 29 years,268
E01000147,Aged 30 years and over,1228
E01000150,Aged 15 years and under,466
E01000150,Aged 16 to 20 years,128
E01000150,Aged 21 to 29 years,270
E01000150,Aged 30 years and over,1391
E01000151,Aged 15 years and under,515
E01000151,Aged 16 to 20 years,152
E01000151,Aged 21 to 29 years,182
E01000151,Aged 30 years and over,872
E01000152,Aged 15 years and under,712
E01000152,Aged 16 to 20 years,145
E01000152,Aged 21 to 29 years,343
E01000152,Aged 30 years and over,1493
E01000153,Aged 15 years and under,440
E01000153,Aged 16 to 20 years,135
E01000153,Aged 21 to 29 years,241
E01000153,Aged 30 years and over,1113
E01000154,Aged 15 years and under,385
E01000154,Aged 16 to 20 years,108
E01000154,Aged 21 to 29 years,312
E01000154,Aged 30 years and over,1110
E01000156,Aged 15 years and under,495
E01000156,Aged 16 to 20 years,109
E01000156,Aged 21 to 29 years,167
E01000156,Aged 30 years and over,1255
E01000157,Aged 15 years and under,364
E01000157,Aged 16 to 20 years,64
E01000157,Aged 21 to 29 years,145
E01000157,Aged 30 years and over,1009
E01000158,Aged 15 years and under,302
E01000158,Aged 16 to 20 years,70
E01000158,Aged 21 to 29 years,157
E01000158,Aged 30 years and over,935
E01000159,Aged 15 years and under,319
E01000159,Aged 16 to 20 years,101
E01000159,Aged 21 to 29 years,185
E01000159,Aged 30 years and over,1179
E01000160,Aged 15 years and under,377
E01000160,Aged 16 to 20 years,107
E01000160,Aged 21 to 29 years,187
E01000160,Aged 30 years and over,1283
E01000161,Aged 15 years and under,407
E01000161,Aged 16 to 20 years,117
E01000161,Aged 21 to 29 years,184
E01000161,Aged 30 years and over,1327
E01000162,Aged 15 years and under,289
E01000162,Aged 16 to 20 years,88
E01000162,Aged 21 to 29 years,173
E01000162,Aged 30 years and over,1099
E01000163,Aged 15 years and under,360
E01000163,Aged 16 to 20 years,86
E01000163,Aged 21 to 29 years,205
E01000163,Aged 30 years and over,1042
E01000164,Aged 15 years and under,370
E01000164,Aged 16 to 20 years,105
E01000164,Aged 21 to 29 years,204
E01000164,Aged 30 years and over,1033
E01000165,Aged 15 years and under,345
E01000165,Aged 16 to 20 years,107
E01000165,Aged 21 to 29 years,182
E01000165,Aged 30 years and over,1177
E01000166,Aged 15 years and under,316
E01000166,Aged 16 to 20 years,81
E01000166,Aged 21 to 29 years,146
E01000166,Aged 30 years and over,1077
E01000167,Aged 15 years and under,289
E01000167,Aged 16 to 20 years,74
E01000167,Aged 21 to 29 years,150
E01000167,Aged 30 years and over,876
E01000168,Aged 15 years and under,236
E01000168,Aged 16 to 20 years,83
E01000168,Aged 21 to 29 years,132
E01000168,Aged 30 years and over,1065
E01000169,Aged 15 years and under,322
E01000169,Aged 16 to 20 years,62
E01000169,Aged 21 to 29 years,178
E01000169,Aged 30 years and over,1069
E01000170,Aged 15 years and under,394
E01000170,Aged 16 to 20 years,160
E01000170,Aged 21 to 29 years,216
E01000170,Aged 30 years and over,1138
E01000171,Aged 15 years and under,558
E01000171,Aged 16 to 20 years,110
E01000171,Aged 21 to 29 years,274
E01000171,Aged 30 years and over,1347
E01000172,Aged 15 years and under,367
E01000172,Aged 16 to 20 years,79
E01000172,Aged 21 to 29 years,160
E01000172,Aged 30 years and over,1084
E01000173,Aged 15 years and under,389
E01000173,Aged 16 to 20 years,101
E01000173,Aged 21 to 29 years,148
E01000173,Aged 30 years and over,1053
E01000174,Aged 15 years and under,378
E01000174,Aged 16 to 20 years,79
E01000174,Aged 21 to 29 years,201
E01000174,Aged 30 years and over,1101
E01000175,Aged 15 years and under,521
E01000175,Aged 16 to 20 years,68
E01000175,Aged 21 to 29 years,255
E01000175,Aged 30 years and over,1187
E01000176,Aged 15 years and under,244
E01000176,Aged 16 to 20 years,128
E01000176,Aged 21 to 29 years,275
E01000176,Aged 30 years and over,1075
E01000177,Aged 15 years and under,385
E01000177,Aged 16 to 20 years,61
E01000177,Aged 21 to 29 years,160
E01000177,Aged 30 years and over,1058
E01000178,Aged 15 years and under,363
E01000178,Aged 16 to 20 years,89
E01000178,Aged 21 to 29 years,162
E01000178,Aged 30 years and over,1058
E01000179,Aged 15 years and under,387
E01000179,Aged 16 to 20 years,52
E01000179,Aged 21 to 29 years,185
E01000179,Aged 30 years and over,1166
E01000180,Aged 15 years and under,314
E01000180,Aged 16 to 20 years,67
E01000180,Aged 21 to 29 years,197
E01000180,Aged 30 years and over,1038
E01000181,Aged 15 years and under,287
E01000181,Aged 16 to 20 years,53
E01000181,Aged 21 to 29 years,236
E01000181,Aged 30 years and over,1111
E01000182,Aged 15 years and under,263
E01000182,Aged 16 to 20 years,70
E01000182,Aged 21 to 29 years,175
E01000182,Aged 30 years and over,1112
E01000183,Aged 15 years and under,320
E01000183,Aged 16 to 20 years,54
E01000183,Aged 21 to 29 years,119
E01000183,Aged 30 years and over,1029
E01000184,Aged 15 years and under,358
E01000184,Aged 16 to 20 years,152
E01000184,Aged 21 to 29 years,305
E01000184,Aged 30 years and over,1056
E01000185,Aged 15 years and under,241
E01000185,Aged 16 to 20 years,93
E01000185,Aged 21 to 29 years,244
E01000185,Aged 30 years and over,893
E01000186,Aged 15 years and under,459
E01000186,Aged 16 to 20 years,108
E01000186,Aged 21 to 29 years,211
E01000186,Aged 30 years and over,993
E01000187,Aged 15 years and under,484
E01000187,Aged 16 to 20 years,86
E01000187,Aged 21 to 29 years,153
