Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000112,"Black, Black British, Black Welsh, Caribbean or African",357
E01000112,Mixed or Multiple ethnic groups,82
E01000112,White,724
E01000112,Other ethnic group,115
E01000113,Does not apply,0
E01000113,"Asian, Asian British or Asian Welsh",638
E01000113,"Black, Black British, Black Welsh, Caribbean or African",396
E01000113,Mixed or Multiple ethnic groups,89
E01000113,White,819
E01000113,Other ethnic group,53
E01000114,Does not apply,0
E01000114,"Asian, Asian British or Asian Welsh",948
E01000114,"Black, Black British, Black Welsh, Caribbean or African",546
E01000114,Mixed or Multiple ethnic groups,70
E01000114,White,782
E01000114,Other ethnic group,72
E01000115,Does not apply,0
E01000115,"Asian, Asian British or Asian Welsh",331
E01000115,"Black, Black British, Black Welsh, Caribbean or African",35
E01000115,Mixed or Multiple ethnic groups,47
E01000115,White,842
E01000115,Other ethnic group,140
E01000116,Does not apply,0
E01000116,"Asian, Asian British or Asian Welsh",254
E01000116,"Black, Black British, Black Welsh, Caribbean or African",87
E01000116,Mixed or Multiple ethnic groups,120
E01000116,White,1099
E01000116,Other ethnic group,187
E01000117,Does not apply,0
E01000117,"Asian, Asian British or Asian Welsh",190
E01000117,"Black, Black British, Black Welsh, Caribbean or African",58
E01000117,Mixed or Multiple ethnic groups,77
E01000117,White,1259
E01000117,Other ethnic group,152
E01000118,Does not apply,0
E01000118,"Asian, Asian British or Asian Welsh",379
E01000118,"Black, Black British, Black Welsh, Caribbean or African",103
E01000118,Mixed or Multiple ethnic groups,125
E01000118,White,1284
E01000118,Other ethnic group,158
E01000119,Does not apply,0
E01000119,"Asian, Asian British or Asian Welsh",456
E01000119,"Black, Black British, Black Welsh, Caribbean or African",46
E01000119,Mixed or Multiple ethnic groups,98
E01000119,White,1009
E01000119,Other ethnic group,184
E01000120,Does not apply,0
E01000120,"Asian, Asian British or Asian Welsh",317
E01000120,"Black, Black British, Black Welsh, Caribbean or African",56
E01000120,Mixed or Multiple ethnic groups,71
E01000120,White,830
E01000120,Other ethnic group,221
E01000121,Does not apply,0
E01000121,"Asian, Asian British or Asian Welsh",248
E01000121,"Black, Black British, Black Welsh, Caribbean or African",172
E01000121,Mixed or Multiple ethnic groups,121
E01000121,White,829
E01000121,Other ethnic group,106
E01000122,Does not apply,0
E01000122,"Asian, Asian British or Asian Welsh",302
E01000122,"Black, Black British, Black Welsh, Caribbean or African",61
E01000122,Mixed or Multiple ethnic groups,100
E01000122,White,894
E01000122,Other ethnic group,156
E01000123,Does not apply,0
E01000123,"Asian, Asian British or Asian Welsh",295
E01000123,"Black, Black British, Black Welsh, Caribbean or African",103
E01000123,Mixed or Multiple ethnic groups,110
E01000123,White,1056
E01000123,Other ethnic group,199
E01000124,Does not apply,0
E01000124,"Asian, Asian British or Asian Welsh",258
E01000124,"Black, Black British, Black Welsh, Caribbean or African",145
E01000124,Mixed or Multiple ethnic groups,182
E01000124,White,1106
E01000124,Other ethnic group,176
E01000126,Does not apply,0
