lsoa21cd,tov_count
E01001298,8
E01001299,12
E01001306,13
E01001345,23
E01001357,9
E01001360,8
E01001368,15
E01001384,10
E01001389,12
E01001253,28
E01001254,14
E01001260,21
E01001282,10
E01001300,18
E01001342,11
E01001316,8
E01001312,13
E01001310,15
E01001212,17
E01001213,14
E01001269,26
E01001274,16
E01001286,9
E01001289,12
E01001297,8
E01001313,10
E01001358,13
E01001359,11
E01001388,10
E01001210,10
E01001227,15
E01001237,18
E01001240,17
E01001252,18
E01001270,17
E01001317,10
E01001333,25
E01001362,14
E01001367,15
E01001382,22
E01032744,20
E01001214,7
E01001226,8
E01001228,12
E01001259,21
E01001265,10
E01001276,35
E01001291,19
E01001311,23
E01001318,11
E01001336,17
E01001343,21
E01001353,12
E01001231,19
E01001235,13
E01001244,12
E01001281,20
E01001350,8
E01001371,10
E01001195,14
E01001205,14
E01001323,22
E01001375,18
E01001377,39
E01001381,26
E01001209,17
E01001218,21
E01001225,12
E01001234,16
E01001250,12
E01001258,24
E01001264,26
E01001283,20
E01001285,24
E01001324,15
E01001354,29
E01001387,13
E01001262,15
E01001302,10
E01001361,24
E01001386,19
E01034030,20
E01001196,19
E01001263,19
E01001268,24
E01001307,20
E01001314,15
E01001320,11
E01001335,21
E01001271,21
E01001275,15
E01001294,14
E01001321,16
E01001261,26
E01001278,36
E01001301,12
E01001328,27
E01001329,15
E01001341,26
E01001351,16
E01001197,19
E01001290,15
E01001327,22
E01001330,17
E01001365,15
E01001370,18
E01001248,20
E01001280,18
E01034027,21
E01001273,25
E01001309,17
E01032572,24
E01001239,20
E01001246,39
E01001266,15
E01001272,14
E01001348,20
E01001208,15
E01001241,18
E01001267,25
E01001284,27
E01001322,26
E01001349,21
E01001344,20
E01001277,39
E01001308,18
E01001347,51
E01001325,19
E01001326,17
E01001338,25
E01001339,12
E01001247,88
E01001220,11
E01001337,13
E01001424,13
E01001442,25
E01001460,32
E01001462,35
E01001562,24
E01001557,25
E01001554,23
E01001515,27
E01001495,20
E01001467,23
E01001466,28
E01033146,23
E01001391,15
E01001430,36
E01001448,34
E01001459,28
E01001464,14
E01001476,21
E01001482,15
E01001487,30
E01001503,31
E01001517,25
E01001522,29
E01001555,37
E01001497,22
E01001566,28
E01001541,26
E01001514,14
E01001509,35
E01001508,34
E01001492,33
E01001491,35
E01001488,26
E01001479,35
E01001447,48
E01001446,30
E01001435,25
E01001396,20
E01001401,23
E01001428,28
E01001431,31
E01001432,42
E01001458,29
E01001485,41
E01001486,41
E01001512,44
E01001530,18
E01001537,28
E01001542,17
E01001547,41
E01001558,29
E01001408,22
E01001480,32
E01001489,37
E01001493,23
E01001494,24
E01001529,25
E01001567,38
E01001565,15
E01001550,24
E01001540,21
E01001505,26
E01001504,28
E01001502,41
E01001475,16
E01001461,31
E01001455,25
E01001441,37
E01001436,26
E01001423,22
E01001392,12
E01001409,21
E01001410,31
E01001434,26
E01001438,37
E01001444,41
E01001449,26
E01001456,39
E01001472,22
E01001539,17
E01001546,23
E01001393,17
E01001398,32
E01001411,37
E01001481,23
E01001528,35
E01001551,40
E01001564,47
E01032574,73
E01001390,27
E01001394,32
E01001426,26
E01001457,23
E01001469,27
E01001525,23
E01001552,29
E01001570,36
E01001402,27
E01001405,25
E01001414,26
E01001416,34
E01001429,32
E01001498,32
E01001524,16
E01001526,24
E01001538,21
E01001556,16
E01001560,20
E01001563,66
E01033150,27
E01033928,12
E01001395,22
E01001397,36
E01001421,26
E01001440,23
E01001465,27
E01001500,27
E01001544,25
E01001406,18
E01001425,28
E01001463,19
E01001499,49
E01001501,44
E01001516,35
E01001543,23
E01001399,23
E01001420,39
E01001433,29
E01001496,31
E01001507,57
E01001531,20
E01001548,29
E01001553,19
E01001478,19
E01001484,38
E01001511,28
E01001533,24
E01001534,43
E01001549,32
E01001418,44
E01001439,56
E01001536,33
E01001545,32
E01001400,15
E01001404,30
E01001403,27
E01001468,23
E01001569,30
E01033927,37
E01001520,26
E01001450,24
E01001471,24
E01001413,26
E01001454,36
E01001474,29
E01001532,21
E01001535,29
E01033148,31
E01001452,24
E01001559,70
E01001523,33
E01001521,20
E01001527,39
E01001568,44
E01001419,35
E01001451,34
E01001453,35
E01001483,39
E01001518,35
E01001422,30
E01001473,22
E01001513,74
E01033151,31
E01001415,46
E01001445,52
E01001427,126
E01001477,29
E01033926,63
E01001407,30
E01001470,43
E01001437,79
E01001417,28
E01001412,52
E01001704,26
E01001695,7
E01001692,19
E01001636,15
E01001573,26
E01034178,3
E01034180,8
E01034181,6
E01034184,6
E01034186,5
E01034191,5
E01034194,1
E01034195,6
E01001590,21
E01001631,24
E01001632,19
E01001638,17
E01001683,22
E01001690,21
E01001696,17
E01001698,18
E01001702,20
E01001710,23
E01033727,18
E01033728,9
E01033732,10
E01033744,16
E01034179,10
E01034187,21
E01001693,25
E01001664,23
E01001624,13
E01033734,5
E01033735,13
E01034177,8
E01034183,12
E01034189,20
E01034193,9
E01001703,14
E01001697,10
E01001671,21
E01001650,38
E01001634,17
E01001633,15
E01001629,17
E01001620,21
E01001603,20
E01001583,25
E01001579,30
E01001576,42
E01001575,43
E01033742,10
E01033746,26
E01001572,26
E01001705,18
E01001700,16
E01001677,36
E01001676,21
E01001675,16
E01001600,28
E01001593,25
E01001589,27
E01001594,22
E01001623,19
E01001635,16
E01001637,33
E01001649,22
E01001654,24
E01001665,25
E01001694,12
E01033736,13
E01034182,6
E01034185,11
E01001582,19
E01001591,25
E01001674,28
E01001708,9
E01033739,15
E01034173,17
E01034174,14
E01001578,61
E01001606,25
E01001610,30
E01001653,17
E01001686,24
E01033738,29
E01001571,24
E01001584,15
E01001597,28
E01001619,19
E01001646,32
E01001652,37
E01001656,12
E01001658,17
E01001679,12
E01001687,35
E01001712,14
E01033740,17
E01034175,12
E01034176,25
E01001621,17
E01001678,14
E01001681,13
E01001581,26
E01001587,20
E01001607,25
E01001666,44
E01001577,35
E01001585,28
E01001598,21
E01001611,17
E01001644,44
E01001647,37
E01001657,14
E01001660,21
E01001661,19
E01032567,15
E01034190,23
E01034192,22
E01001586,22
E01001592,32
E01001595,30
E01001596,26
E01001601,17
E01001608,29
E01001645,14
E01001648,20
E01001672,27
E01001580,24
E01001625,29
E01001651,40
E01001680,23
E01001685,10
E01034196,10
E01001602,25
E01001609,37
E01033741,65
E01001614,16
E01001618,22
E01001673,25
E01001699,10
E01033745,30
E01001604,28
E01033737,33
E01001641,29
E01033729,20
E01001588,21
E01001599,30
E01001655,20
E01001659,24
E01001669,42
E01001605,32
E01001701,31
E01001615,26
E01001617,22
E01001642,42
E01001688,51
E01001574,19
E01033743,28
E01001613,30
E01034198,97
E01001682,17
E01001684,9
E01034188,58
E01001845,17
E01001844,30
E01001843,16
E01001842,14
E01001838,16
E01001836,34
E01001835,5
E01001834,10
E01001832,15
E01001823,19
E01001822,19
E01001821,10
E01001820,12
E01001813,11
E01001811,18
E01001800,11
E01001798,22
E01001796,25
E01001794,23
E01001790,8
E01001789,20
E01001785,15
E01001784,11
E01001783,11
E01001776,30
E01001775,10
E01001772,14
E01001768,32
E01001759,19
E01001757,8
E01001755,11
E01001753,12
E01001749,17
E01001746,12
E01001740,10
E01001738,13
E01001737,14
E01001732,20
E01001728,9
E01001727,11
E01001726,9
E01001724,19
E01001723,13
E01001722,20
E01001719,12
E01001718,18
E01001717,6
E01001715,20
E01033702,12
E01033703,7
E01033710,7
E01035641,2
E01035642,3
E01035644,1
E01035645,4
E01035646,1
E01035647,3
E01035648,3
E01035649,6
E01001716,10
E01001733,31
E01001735,10
E01001736,9
E01001739,20
E01001741,9
E01001756,18
E01001763,18
E01001767,24
E01001769,12
E01001770,26
E01001780,10
E01001781,9
E01001788,8
E01001791,22
E01001792,19
E01001795,19
E01001804,8
E01001805,16
E01001814,17
E01001815,9
E01001816,17
E01001819,19
E01001827,19
E01001828,19
E01001829,7
E01001830,6
E01001831,18
E01001833,22
E01001837,10
E01001839,19
E01001850,20
E01033711,10
E01035638,2
E01035639,3
E01035640,10
E01035650,7
E01001729,27
E01001840,21
E01001826,10
E01001825,13
E01001809,10
E01001808,14
E01001807,18
E01001802,9
E01001793,13
E01001764,15
E01001762,17
E01001761,12
E01001760,13
E01001751,16
E01001747,21
E01001742,6
E01001731,24
E01001725,8
E01001720,15
E01033700,21
E01033705,15
E01035643,6
E01001734,30
E01001750,22
E01001847,16
E01001841,22
E01001824,12
E01001803,14
E01001773,20
E01001765,20
E01001745,11
E01001744,17
E01001730,13
E01001714,13
E01033699,15
E01033712,14
E01001799,7
E01001787,21
E01033709,11
E01033713,18
E01001758,12
E01001774,18
E01001801,13
E01001777,21
E01033704,26
E01001812,23
E01001848,35
E01033706,11
E01001806,14
E01001846,29
E01033708,53
E01001849,61
E01001786,31
E01001851,17
E01001853,23
E01001854,12
E01001855,13
E01001861,11
E01001862,17
E01001863,16
E01001864,17
E01001867,9
E01001872,15
E01001873,11
E01001878,12
E01001879,17
E01001882,13
E01001884,8
E01001885,8
E01001888,21
E01001896,18
E01001901,19
E01001903,13
E01001905,20
E01001906,14
E01001907,21
E01001908,12
E01001910,10
E01001914,19
E01001918,21
E01001926,15
E01001929,15
E01001931,10
E01001938,13
E01001940,15
E01001942,15
E01001944,16
E01001945,14
E01001948,28
E01001949,28
E01001952,16
E01001957,9
E01001958,8
E01001960,7
E01001961,5
E01032789,5
E01001852,27
E01001857,19
E01001859,10
E01001868,5
E01001881,19
E01001892,12
E01001893,12
E01001895,10
E01001897,19
E01001902,23
E01001909,20
E01001912,8
E01001924,20
E01001947,7
E01001951,18
E01001956,10
E01032788,16
E01001856,22
E01001875,18
E01001883,14
E01001889,18
E01001890,7
E01001904,21
E01001946,14
E01001953,8
E01032790,6
E01001865,13
E01001894,22
E01001900,5
E01001913,13
