Lower layer Super Output Areas Code,Residents Population Density (per square kilometre)
E01000925 ,"18,055.6"
E01000926 ,"15,896.3"
E01000969 ,"10,971.2"
E01000970 ,"20,465.1"
E01000971 ,"16,475.7"
E01000972 ,"13,982.9"
E01000973 ,"10,883.6"
E01000842 ,"13,625.1"
E01000844 ,"14,354.7"
E01000848 ,"14,717.5"
E01000849 ,"17,529.0"
E01000900 ,"17,005.0"
E01000902 ,"16,813.3"
E01000904 ,"17,716.7"
E01000905 ,"21,765.4"
E01000906 ,"10,501.5"
E01000875 ,"13,407.3"
E01000876 ,"16,472.6"
E01000931 ,"13,997.3"
E01000932 ,"26,626.3"
E01000974 ,"13,850.2"
E01000843 ,"14,357.7"
E01000845 ,"12,711.9"
