lsoa21cd,tfv_count
E01033734,5
E01033735,29
E01034177,11
E01034183,14
E01034189,13
E01034193,3
E01001703,35
E01001697,23
E01001671,22
E01001650,17
E01001634,20
E01001633,44
E01001629,29
E01001620,16
E01001603,24
E01001583,36
E01001579,29
E01001576,29
E01001575,53
E01033742,11
E01033746,20
E01001572,23
E01001705,17
E01001700,32
E01001677,44
E01001676,35
E01001675,24
E01001600,30
E01001593,23
E01001589,17
E01001594,14
E01001623,20
E01001635,21
E01001637,27
E01001649,15
E01001654,16
E01001665,30
E01001694,12
E01033736,10
E01034182,27
E01034185,14
E01001582,20
E01001591,14
E01001674,40
E01001708,33
E01033739,12
E01034173,19
E01034174,21
E01001578,77
E01001606,15
E01001610,16
E01001653,18
E01001686,22
E01033738,53
E01001571,37
E01001584,21
E01001597,20
E01001619,11
E01001646,33
E01001652,28
E01001656,18
E01001658,42
E01001679,25
E01001687,26
E01001712,17
E01033740,19
E01034175,17
E01034176,11
E01001621,16
E01001678,20
E01001681,23
E01001581,17
E01001587,29
E01001607,28
E01001666,100
E01001577,42
E01001585,19
E01001598,21
E01001611,13
E01001644,42
E01001647,19
E01001657,15
E01001660,15
E01001661,29
E01032567,35
E01034190,27
E01034192,42
E01001586,28
E01001592,24
E01001595,28
E01001596,20
E01001601,25
E01001608,23
E01001645,22
E01001648,30
E01001672,36
E01001580,27
E01001625,19
E01001651,38
E01001680,19
E01001685,23
E01034196,11
E01001602,36
E01001609,42
E01033741,33
E01001614,8
E01001618,12
E01001673,36
E01001699,12
E01033745,21
E01001604,15
E01033737,85
E01001641,35
E01033729,15
E01001588,17
E01001599,29
E01001655,10
E01001659,24
E01001669,42
E01001605,23
E01001701,64
E01001615,48
E01001617,21
E01001642,26
E01001688,46
E01001574,34
E01033743,25
E01001613,27
E01034198,69
E01001682,19
E01001684,9
E01034188,185
E01001845,26
E01001844,52
E01001843,18
E01001842,28
E01001838,36
E01001836,37
E01001835,13
E01001834,31
E01001832,26
E01001823,40
E01001822,23
E01001821,17
E01001820,15
E01001813,32
E01001811,23
E01001800,15
E01001798,28
E01001796,38
E01001794,64
E01001790,10
E01001789,42
E01001785,34
E01001784,26
E01001783,20
E01001776,48
E01001775,21
E01001772,27
E01001768,45
