Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000066,Social rented: Other social rented,7
E01000066,Private rented: Private landlord or letting agency,107
E01000066,Private rented: Other private rented or lives rent free,9
E01000067,Does not apply,0
E01000067,Owned: Owns outright,176
E01000067,Owned: Owns with a mortgage or loan or shared ownership,252
E01000067,Social rented: Rents from council or Local Authority,98
E01000067,Social rented: Other social rented,3
E01000067,Private rented: Private landlord or letting agency,117
E01000067,Private rented: Other private rented or lives rent free,15
E01000068,Does not apply,0
E01000068,Owned: Owns outright,147
E01000068,Owned: Owns with a mortgage or loan or shared ownership,179
E01000068,Social rented: Rents from council or Local Authority,4
E01000068,Social rented: Other social rented,2
E01000068,Private rented: Private landlord or letting agency,136
E01000068,Private rented: Other private rented or lives rent free,8
E01000069,Does not apply,0
E01000069,Owned: Owns outright,174
E01000069,Owned: Owns with a mortgage or loan or shared ownership,274
E01000069,Social rented: Rents from council or Local Authority,11
E01000069,Social rented: Other social rented,2
E01000069,Private rented: Private landlord or letting agency,67
E01000069,Private rented: Other private rented or lives rent free,8
E01000070,Does not apply,0
E01000070,Owned: Owns outright,183
E01000070,Owned: Owns with a mortgage or loan or shared ownership,240
E01000070,Social rented: Rents from council or Local Authority,25
E01000070,Social rented: Other social rented,5
E01000070,Private rented: Private landlord or letting agency,113
E01000070,Private rented: Other private rented or lives rent free,12
E01000071,Does not apply,0
E01000071,Owned: Owns outright,169
E01000071,Owned: Owns with a mortgage or loan or shared ownership,321
E01000071,Social rented: Rents from council or Local Authority,41
E01000071,Social rented: Other social rented,61
E01000071,Private rented: Private landlord or letting agency,190
E01000071,Private rented: Other private rented or lives rent free,23
E01000072,Does not apply,0
E01000072,Owned: Owns outright,76
E01000072,Owned: Owns with a mortgage or loan or shared ownership,167
E01000072,Social rented: Rents from council or Local Authority,241
E01000072,Social rented: Other social rented,67
E01000072,Private rented: Private landlord or letting agency,170
E01000072,Private rented: Other private rented or lives rent free,18
E01000073,Does not apply,0
E01000073,Owned: Owns outright,90
E01000073,Owned: Owns with a mortgage or loan or shared ownership,197
E01000073,Social rented: Rents from council or Local Authority,207
E01000073,Social rented: Other social rented,20
E01000073,Private rented: Private landlord or letting agency,136
E01000073,Private rented: Other private rented or lives rent free,15
E01000074,Does not apply,0
E01000074,Owned: Owns outright,79
E01000074,Owned: Owns with a mortgage or loan or shared ownership,171
E01000074,Social rented: Rents from council or Local Authority,235
E01000074,Social rented: Other social rented,17
E01000074,Private rented: Private landlord or letting agency,105
E01000074,Private rented: Other private rented or lives rent free,18
E01000075,Does not apply,0
E01000075,Owned: Owns outright,144
E01000075,Owned: Owns with a mortgage or loan or shared ownership,177
E01000075,Social rented: Rents from council or Local Authority,178
E01000075,Social rented: Other social rented,12
E01000075,Private rented: Private landlord or letting agency,112
E01000075,Private rented: Other private rented or lives rent free,17
E01000076,Does not apply,0
E01000076,Owned: Owns outright,92
E01000076,Owned: Owns with a mortgage or loan or shared ownership,192
E01000076,Social rented: Rents from council or Local Authority,287
E01000076,Social rented: Other social rented,36
E01000076,Private rented: Private landlord or letting agency,172
E01000076,Private rented: Other private rented or lives rent free,13
E01000077,Does not apply,0
E01000077,Owned: Owns outright,71
E01000077,Owned: Owns with a mortgage or loan or shared ownership,155
E01000077,Social rented: Rents from council or Local Authority,163
E01000077,Social rented: Other social rented,69
E01000077,Private rented: Private landlord or letting agency,114
E01000077,Private rented: Other private rented or lives rent free,21
E01000078,Does not apply,0
E01000078,Owned: Owns outright,86
E01000078,Owned: Owns with a mortgage or loan or shared ownership,192
E01000078,Social rented: Rents from council or Local Authority,178
E01000078,Social rented: Other social rented,25
E01000078,Private rented: Private landlord or letting agency,124
E01000078,Private rented: Other private rented or lives rent free,16
E01000079,Does not apply,0
E01000079,Owned: Owns outright,87
E01000079,Owned: Owns with a mortgage or loan or shared ownership,181
E01000079,Social rented: Rents from council or Local Authority,155
E01000079,Social rented: Other social rented,45
E01000079,Private rented: Private landlord or letting agency,141
E01000079,Private rented: Other private rented or lives rent free,13
E01000080,Does not apply,0
E01000080,Owned: Owns outright,97
E01000080,Owned: Owns with a mortgage or loan or shared ownership,189
E01000080,Social rented: Rents from council or Local Authority,194
E01000080,Social rented: Other social rented,27
E01000080,Private rented: Private landlord or letting agency,97
E01000080,Private rented: Other private rented or lives rent free,5
E01000081,Does not apply,0
E01000081,Owned: Owns outright,109
E01000081,Owned: Owns with a mortgage or loan or shared ownership,242
E01000081,Social rented: Rents from council or Local Authority,167
E01000081,Social rented: Other social rented,22
E01000081,Private rented: Private landlord or letting agency,104
E01000081,Private rented: Other private rented or lives rent free,10
E01000082,Does not apply,0
E01000082,Owned: Owns outright,79
E01000082,Owned: Owns with a mortgage or loan or shared ownership,234
