Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000100,Social rented: Rents from council or Local Authority,216
E01000100,Social rented: Other social rented,30
E01000100,Private rented: Private landlord or letting agency,132
E01000100,Private rented: Other private rented or lives rent free,13
E01000101,Does not apply,0
E01000101,Owned: Owns outright,89
E01000101,Owned: Owns with a mortgage or loan or shared ownership,158
E01000101,Social rented: Rents from council or Local Authority,171
E01000101,Social rented: Other social rented,35
E01000101,Private rented: Private landlord or letting agency,114
E01000101,Private rented: Other private rented or lives rent free,16
E01000102,Does not apply,0
E01000102,Owned: Owns outright,96
E01000102,Owned: Owns with a mortgage or loan or shared ownership,159
E01000102,Social rented: Rents from council or Local Authority,213
E01000102,Social rented: Other social rented,26
E01000102,Private rented: Private landlord or letting agency,126
E01000102,Private rented: Other private rented or lives rent free,9
E01000103,Does not apply,0
E01000103,Owned: Owns outright,88
E01000103,Owned: Owns with a mortgage or loan or shared ownership,174
E01000103,Social rented: Rents from council or Local Authority,58
E01000103,Social rented: Other social rented,108
E01000103,Private rented: Private landlord or letting agency,94
E01000103,Private rented: Other private rented or lives rent free,11
E01000104,Does not apply,0
E01000104,Owned: Owns outright,85
E01000104,Owned: Owns with a mortgage or loan or shared ownership,144
E01000104,Social rented: Rents from council or Local Authority,302
E01000104,Social rented: Other social rented,62
E01000104,Private rented: Private landlord or letting agency,86
E01000104,Private rented: Other private rented or lives rent free,14
E01000105,Does not apply,0
E01000105,Owned: Owns outright,88
E01000105,Owned: Owns with a mortgage or loan or shared ownership,164
E01000105,Social rented: Rents from council or Local Authority,383
E01000105,Social rented: Other social rented,149
E01000105,Private rented: Private landlord or letting agency,135
E01000105,Private rented: Other private rented or lives rent free,16
E01000106,Does not apply,0
E01000106,Owned: Owns outright,114
E01000106,Owned: Owns with a mortgage or loan or shared ownership,146
E01000106,Social rented: Rents from council or Local Authority,322
E01000106,Social rented: Other social rented,47
E01000106,Private rented: Private landlord or letting agency,222
E01000106,Private rented: Other private rented or lives rent free,19
E01000107,Does not apply,0
E01000107,Owned: Owns outright,180
E01000107,Owned: Owns with a mortgage or loan or shared ownership,194
E01000107,Social rented: Rents from council or Local Authority,70
E01000107,Social rented: Other social rented,13
E01000107,Private rented: Private landlord or letting agency,131
E01000107,Private rented: Other private rented or lives rent free,16
E01000108,Does not apply,0
E01000108,Owned: Owns outright,149
E01000108,Owned: Owns with a mortgage or loan or shared ownership,187
E01000108,Social rented: Rents from council or Local Authority,67
E01000108,Social rented: Other social rented,59
E01000108,Private rented: Private landlord or letting agency,202
E01000108,Private rented: Other private rented or lives rent free,22
E01000110,Does not apply,0
E01000110,Owned: Owns outright,176
E01000110,Owned: Owns with a mortgage or loan or shared ownership,217
E01000110,Social rented: Rents from council or Local Authority,7
E01000110,Social rented: Other social rented,3
E01000110,Private rented: Private landlord or letting agency,102
E01000110,Private rented: Other private rented or lives rent free,17
E01000111,Does not apply,0
E01000111,Owned: Owns outright,124
E01000111,Owned: Owns with a mortgage or loan or shared ownership,210
E01000111,Social rented: Rents from council or Local Authority,211
E01000111,Social rented: Other social rented,42
E01000111,Private rented: Private landlord or letting agency,149
E01000111,Private rented: Other private rented or lives rent free,12
E01000112,Does not apply,0
E01000112,Owned: Owns outright,145
E01000112,Owned: Owns with a mortgage or loan or shared ownership,225
E01000112,Social rented: Rents from council or Local Authority,53
E01000112,Social rented: Other social rented,22
E01000112,Private rented: Private landlord or letting agency,237
E01000112,Private rented: Other private rented or lives rent free,18
E01000113,Does not apply,0
E01000113,Owned: Owns outright,141
E01000113,Owned: Owns with a mortgage or loan or shared ownership,179
E01000113,Social rented: Rents from council or Local Authority,25
E01000113,Social rented: Other social rented,16
E01000113,Private rented: Private landlord or letting agency,270
E01000113,Private rented: Other private rented or lives rent free,11
E01000114,Does not apply,0
E01000114,Owned: Owns outright,149
E01000114,Owned: Owns with a mortgage or loan or shared ownership,313
E01000114,Social rented: Rents from council or Local Authority,49
E01000114,Social rented: Other social rented,23
E01000114,Private rented: Private landlord or letting agency,210
E01000114,Private rented: Other private rented or lives rent free,11
E01000115,Does not apply,0
E01000115,Owned: Owns outright,245
E01000115,Owned: Owns with a mortgage or loan or shared ownership,192
E01000115,Social rented: Rents from council or Local Authority,0
E01000115,Social rented: Other social rented,1
E01000115,Private rented: Private landlord or letting agency,37
E01000115,Private rented: Other private rented or lives rent free,6
E01000116,Does not apply,0
E01000116,Owned: Owns outright,225
E01000116,Owned: Owns with a mortgage or loan or shared ownership,252
E01000116,Social rented: Rents from council or Local Authority,5
E01000116,Social rented: Other social rented,41
E01000116,Private rented: Private landlord or letting agency,85
E01000116,Private rented: Other private rented or lives rent free,11
E01000117,Does not apply,0
E01000117,Owned: Owns outright,306
E01000117,Owned: Owns with a mortgage or loan or shared ownership,256
E01000117,Social rented: Rents from council or Local Authority,4
E01000117,Social rented: Other social rented,5
E01000117,Private rented: Private landlord or letting agency,102
E01000117,Private rented: Other private rented or lives rent free,23
E01000118,Does not apply,0
E01000118,Owned: Owns outright,295
E01000118,Owned: Owns with a mortgage or loan or shared ownership,310
E01000118,Social rented: Rents from council or Local Authority,10
E01000118,Social rented: Other social rented,8
E01000118,Private rented: Private landlord or letting agency,119
E01000118,Private rented: Other private rented or lives rent free,7
E01000119,Does not apply,0
E01000119,Owned: Owns outright,263
E01000119,Owned: Owns with a mortgage or loan or shared ownership,219
E01000119,Social rented: Rents from council or Local Authority,5
E01000119,Social rented: Other social rented,34
E01000119,Private rented: Private landlord or letting agency,95
E01000119,Private rented: Other private rented or lives rent free,12
E01000120,Does not apply,0
E01000120,Owned: Owns outright,219
E01000120,Owned: Owns with a mortgage or loan or shared ownership,208
E01000120,Social rented: Rents from council or Local Authority,1
E01000120,Social rented: Other social rented,2
E01000120,Private rented: Private landlord or letting agency,64
E01000120,Private rented: Other private rented or lives rent free,3
E01000121,Does not apply,0
E01000121,Owned: Owns outright,88
E01000121,Owned: Owns with a mortgage or loan or shared ownership,135
E01000121,Social rented: Rents from council or Local Authority,34
E01000121,Social rented: Other social rented,212
E01000121,Private rented: Private landlord or letting agency,52
E01000121,Private rented: Other private rented or lives rent free,4
E01000122,Does not apply,0
E01000122,Owned: Owns outright,204
E01000122,Owned: Owns with a mortgage or loan or shared ownership,234
E01000122,Social rented: Rents from council or Local Authority,3
E01000122,Social rented: Other social rented,2
E01000122,Private rented: Private landlord or letting agency,69
E01000122,Private rented: Other private rented or lives rent free,7
E01000123,Does not apply,0
E01000123,Owned: Owns outright,217
E01000123,Owned: Owns with a mortgage or loan or shared ownership,277
E01000123,Social rented: Rents from council or Local Authority,13
E01000123,Social rented: Other social rented,14
E01000123,Private rented: Private landlord or letting agency,197
E01000123,Private rented: Other private rented or lives rent free,13
E01000124,Does not apply,0
E01000124,Owned: Owns outright,182
E01000124,Owned: Owns with a mortgage or loan or shared ownership,191
E01000124,Social rented: Rents from council or Local Authority,113
E01000124,Social rented: Other social rented,56
E01000124,Private rented: Private landlord or letting agency,238
E01000124,Private rented: Other private rented or lives rent free,13
E01000126,Does not apply,0
E01000126,Owned: Owns outright,58
E01000126,Owned: Owns with a mortgage or loan or shared ownership,179
E01000126,Social rented: Rents from council or Local Authority,21
E01000126,Social rented: Other social rented,319
E01000126,Private rented: Private landlord or letting agency,170
E01000126,Private rented: Other private rented or lives rent free,21
E01000127,Does not apply,0
E01000127,Owned: Owns outright,85
E01000127,Owned: Owns with a mortgage or loan or shared ownership,107
E01000127,Social rented: Rents from council or Local Authority,171
E01000127,Social rented: Other social rented,26
E01000127,Private rented: Private landlord or letting agency,110
E01000127,Private rented: Other private rented or lives rent free,18
E01000128,Does not apply,0
E01000128,Owned: Owns outright,138
E01000128,Owned: Owns with a mortgage or loan or shared ownership,171
E01000128,Social rented: Rents from council or Local Authority,170
