Lower layer Super Output Areas Code,Country of birth (UK) (3 categories),Observation
E01000269,Does not apply,0
E01000269,Born in the UK,1012
E01000269,Born outside the UK,374
E01000270,Does not apply,0
E01000270,Born in the UK,1075
E01000270,Born outside the UK,470
E01000271,Does not apply,0
E01000271,Born in the UK,1096
E01000271,Born outside the UK,545
E01000272,Does not apply,0
E01000272,Born in the UK,984
E01000272,Born outside the UK,442
E01000273,Does not apply,0
E01000273,Born in the UK,992
E01000273,Born outside the UK,677
E01000274,Does not apply,0
E01000274,Born in the UK,1256
E01000274,Born outside the UK,680
E01000275,Does not apply,0
E01000275,Born in the UK,917
E01000275,Born outside the UK,823
E01000276,Does not apply,0
E01000276,Born in the UK,931
E01000276,Born outside the UK,606
E01000277,Does not apply,0
E01000277,Born in the UK,744
E01000277,Born outside the UK,908
E01000278,Does not apply,0
E01000278,Born in the UK,857
E01000278,Born outside the UK,621
E01000279,Does not apply,0
E01000279,Born in the UK,1024
E01000279,Born outside the UK,341
E01000280,Does not apply,0
E01000280,Born in the UK,935
E01000280,Born outside the UK,404
E01000281,Does not apply,0
E01000281,Born in the UK,1114
E01000281,Born outside the UK,675
E01000282,Does not apply,0
E01000282,Born in the UK,1134
E01000282,Born outside the UK,674
E01000283,Does not apply,0
E01000283,Born in the UK,967
E01000283,Born outside the UK,402
E01000284,Does not apply,0
E01000284,Born in the UK,914
E01000284,Born outside the UK,892
E01000285,Does not apply,0
E01000285,Born in the UK,984
E01000285,Born outside the UK,529
E01000286,Does not apply,0
E01000286,Born in the UK,1165
E01000286,Born outside the UK,552
E01000287,Does not apply,0
E01000287,Born in the UK,1158
E01000287,Born outside the UK,473
E01000288,Does not apply,0
E01000288,Born in the UK,1033
E01000288,Born outside the UK,515
E01000289,Does not apply,0
E01000289,Born in the UK,1036
E01000289,Born outside the UK,547
E01000290,Does not apply,0
E01000290,Born in the UK,1157
E01000290,Born outside the UK,464
E01000291,Does not apply,0
E01000291,Born in the UK,985
E01000291,Born outside the UK,576
E01000292,Does not apply,0
E01000292,Born in the UK,1079
E01000292,Born outside the UK,465
E01000293,Does not apply,0
E01000293,Born in the UK,1196
E01000293,Born outside the UK,576
E01000294,Does not apply,0
E01000294,Born in the UK,1193
E01000294,Born outside the UK,618
E01000295,Does not apply,0
E01000295,Born in the UK,833
E01000295,Born outside the UK,782
E01000296,Does not apply,0
E01000296,Born in the UK,840
E01000296,Born outside the UK,948
E01000297,Does not apply,0
E01000297,Born in the UK,735
E01000297,Born outside the UK,686
E01000298,Does not apply,0
E01000298,Born in the UK,827
E01000298,Born outside the UK,884
E01000299,Does not apply,0
E01000299,Born in the UK,894
E01000299,Born outside the UK,1325
E01000300,Does not apply,0
E01000300,Born in the UK,956
E01000300,Born outside the UK,711
E01000301,Does not apply,0
E01000301,Born in the UK,848
E01000301,Born outside the UK,647
E01000302,Does not apply,0
E01000302,Born in the UK,836
E01000302,Born outside the UK,963
E01000303,Does not apply,0
E01000303,Born in the UK,869
E01000303,Born outside the UK,633
E01000304,Does not apply,0
E01000304,Born in the UK,835
E01000304,Born outside the UK,722
E01000305,Does not apply,0
E01000305,Born in the UK,607
E01000305,Born outside the UK,1016
E01000306,Does not apply,0
E01000306,Born in the UK,648
E01000306,Born outside the UK,1323
E01000307,Does not apply,0
E01000307,Born in the UK,750
E01000307,Born outside the UK,900
E01000308,Does not apply,0
E01000308,Born in the UK,1040
E01000308,Born outside the UK,1070
E01000309,Does not apply,0
E01000309,Born in the UK,857
E01000309,Born outside the UK,1194
E01000310,Does not apply,0
E01000310,Born in the UK,883
E01000310,Born outside the UK,1311
E01000311,Does not apply,0
E01000311,Born in the UK,1221
E01000311,Born outside the UK,550
E01000312,Does not apply,0
E01000312,Born in the UK,843
E01000312,Born outside the UK,925
E01000313,Does not apply,0
E01000313,Born in the UK,718
E01000313,Born outside the UK,1183
E01000314,Does not apply,0
E01000314,Born in the UK,809
E01000314,Born outside the UK,1357
E01000315,Does not apply,0
E01000315,Born in the UK,990
E01000315,Born outside the UK,709
E01000316,Does not apply,0
E01000316,Born in the UK,1127
E01000316,Born outside the UK,1160
E01000317,Does not apply,0
E01000317,Born in the UK,888
E01000317,Born outside the UK,694
E01000318,Does not apply,0
E01000318,Born in the UK,1077
E01000318,Born outside the UK,848
E01000319,Does not apply,0
E01000319,Born in the UK,927
E01000319,Born outside the UK,475
E01000320,Does not apply,0
E01000320,Born in the UK,1126
E01000320,Born outside the UK,808
E01000321,Does not apply,0
E01000321,Born in the UK,1005
E01000321,Born outside the UK,956
E01000322,Does not apply,0
E01000322,Born in the UK,1002
E01000322,Born outside the UK,857
E01000323,Does not apply,0
E01000323,Born in the UK,1060
E01000323,Born outside the UK,1305
E01000324,Does not apply,0
E01000324,Born in the UK,1136
E01000324,Born outside the UK,695
E01000325,Does not apply,0
E01000325,Born in the UK,1497
E01000325,Born outside the UK,150
E01000326,Does not apply,0
E01000326,Born in the UK,1166
E01000326,Born outside the UK,215
E01000327,Does not apply,0
E01000327,Born in the UK,1372
E01000327,Born outside the UK,256
E01000328,Does not apply,0
E01000328,Born in the UK,1428
E01000328,Born outside the UK,209
E01000329,Does not apply,0
E01000329,Born in the UK,1335
E01000329,Born outside the UK,361
E01000330,Does not apply,0
E01000330,Born in the UK,1318
E01000330,Born outside the UK,338
E01000331,Does not apply,0
E01000331,Born in the UK,1413
E01000331,Born outside the UK,275
E01000332,Does not apply,0
E01000332,Born in the UK,1213
E01000332,Born outside the UK,379
E01000333,Does not apply,0
E01000333,Born in the UK,1449
E01000333,Born outside the UK,468
E01000334,Does not apply,0
E01000334,Born in the UK,1329
E01000334,Born outside the UK,348
E01000335,Does not apply,0
E01000335,Born in the UK,1519
E01000335,Born outside the UK,1207
E01000336,Does not apply,0
E01000336,Born in the UK,1275
E01000336,Born outside the UK,723
