Lower layer Super Output Areas Code,Age (6 categories),Observation
E01000108,Aged 15 years and under,485
E01000108,Aged 16 to 24 years,217
E01000108,Aged 25 to 34 years,308
E01000108,Aged 35 to 49 years,400
E01000108,Aged 50 to 64 years,303
E01000108,Aged 65 years and over,202
E01000110,Aged 15 years and under,348
E01000110,Aged 16 to 24 years,176
E01000110,Aged 25 to 34 years,237
E01000110,Aged 35 to 49 years,332
E01000110,Aged 50 to 64 years,306
E01000110,Aged 65 years and over,178
E01000111,Aged 15 years and under,541
E01000111,Aged 16 to 24 years,254
E01000111,Aged 25 to 34 years,345
E01000111,Aged 35 to 49 years,396
E01000111,Aged 50 to 64 years,381
E01000111,Aged 65 years and over,243
E01000112,Aged 15 years and under,466
E01000112,Aged 16 to 24 years,203
E01000112,Aged 25 to 34 years,373
E01000112,Aged 35 to 49 years,449
E01000112,Aged 50 to 64 years,312
E01000112,Aged 65 years and over,170
E01000113,Aged 15 years and under,474
E01000113,Aged 16 to 24 years,253
E01000113,Aged 25 to 34 years,322
E01000113,Aged 35 to 49 years,459
E01000113,Aged 50 to 64 years,311
E01000113,Aged 65 years and over,176
E01000114,Aged 15 years and under,715
E01000114,Aged 16 to 24 years,277
E01000114,Aged 25 to 34 years,306
E01000114,Aged 35 to 49 years,596
E01000114,Aged 50 to 64 years,328
E01000114,Aged 65 years and over,196
E01000115,Aged 15 years and under,223
E01000115,Aged 16 to 24 years,139
E01000115,Aged 25 to 34 years,125
E01000115,Aged 35 to 49 years,248
E01000115,Aged 50 to 64 years,347
E01000115,Aged 65 years and over,313
E01000116,Aged 15 years and under,384
E01000116,Aged 16 to 24 years,173
E01000116,Aged 25 to 34 years,135
E01000116,Aged 35 to 49 years,394
E01000116,Aged 50 to 64 years,344
E01000116,Aged 65 years and over,315
E01000117,Aged 15 years and under,335
E01000117,Aged 16 to 24 years,143
E01000117,Aged 25 to 34 years,182
E01000117,Aged 35 to 49 years,358
E01000117,Aged 50 to 64 years,355
E01000117,Aged 65 years and over,360
E01000118,Aged 15 years and under,405
E01000118,Aged 16 to 24 years,207
E01000118,Aged 25 to 34 years,215
E01000118,Aged 35 to 49 years,459
E01000118,Aged 50 to 64 years,433
E01000118,Aged 65 years and over,329
E01000119,Aged 15 years and under,330
E01000119,Aged 16 to 24 years,163
E01000119,Aged 25 to 34 years,183
E01000119,Aged 35 to 49 years,370
E01000119,Aged 50 to 64 years,409
E01000119,Aged 65 years and over,342
E01000120,Aged 15 years and under,271
E01000120,Aged 16 to 24 years,155
E01000120,Aged 25 to 34 years,143
E01000120,Aged 35 to 49 years,296
E01000120,Aged 50 to 64 years,331
E01000120,Aged 65 years and over,300
E01000121,Aged 15 years and under,269
E01000121,Aged 16 to 24 years,207
E01000121,Aged 25 to 34 years,191
E01000121,Aged 35 to 49 years,279
E01000121,Aged 50 to 64 years,349
E01000121,Aged 65 years and over,183
E01000122,Aged 15 years and under,308
E01000122,Aged 16 to 24 years,153
E01000122,Aged 25 to 34 years,127
E01000122,Aged 35 to 49 years,340
E01000122,Aged 50 to 64 years,321
E01000122,Aged 65 years and over,261
E01000123,Aged 15 years and under,336
E01000123,Aged 16 to 24 years,120
E01000123,Aged 25 to 34 years,266
E01000123,Aged 35 to 49 years,453
E01000123,Aged 50 to 64 years,353
E01000123,Aged 65 years and over,233
E01000124,Aged 15 years and under,401
E01000124,Aged 16 to 24 years,176
E01000124,Aged 25 to 34 years,274
E01000124,Aged 35 to 49 years,474
E01000124,Aged 50 to 64 years,338
E01000124,Aged 65 years and over,204
E01000126,Aged 15 years and under,460
E01000126,Aged 16 to 24 years,336
E01000126,Aged 25 to 34 years,361
E01000126,Aged 35 to 49 years,518
E01000126,Aged 50 to 64 years,450
E01000126,Aged 65 years and over,149
E01000127,Aged 15 years and under,361
E01000127,Aged 16 to 24 years,161
E01000127,Aged 25 to 34 years,195
E01000127,Aged 35 to 49 years,358
E01000127,Aged 50 to 64 years,316
E01000127,Aged 65 years and over,166
E01000128,Aged 15 years and under,443
E01000128,Aged 16 to 24 years,254
E01000128,Aged 25 to 34 years,285
E01000128,Aged 35 to 49 years,473
E01000128,Aged 50 to 64 years,379
E01000128,Aged 65 years and over,216
E01000129,Aged 15 years and under,341
E01000129,Aged 16 to 24 years,195
E01000129,Aged 25 to 34 years,231
E01000129,Aged 35 to 49 years,390
E01000129,Aged 50 to 64 years,258
E01000129,Aged 65 years and over,189
E01000130,Aged 15 years and under,409
E01000130,Aged 16 to 24 years,219
E01000130,Aged 25 to 34 years,284
E01000130,Aged 35 to 49 years,521
E01000130,Aged 50 to 64 years,310
E01000130,Aged 65 years and over,198
E01000131,Aged 15 years and under,420
E01000131,Aged 16 to 24 years,205
E01000131,Aged 25 to 34 years,378
E01000131,Aged 35 to 49 years,444
E01000131,Aged 50 to 64 years,315
E01000131,Aged 65 years and over,259
E01000132,Aged 15 years and under,409
E01000132,Aged 16 to 24 years,197
E01000132,Aged 25 to 34 years,234
E01000132,Aged 35 to 49 years,344
E01000132,Aged 50 to 64 years,319
E01000132,Aged 65 years and over,112
E01000133,Aged 15 years and under,369
E01000133,Aged 16 to 24 years,174
E01000133,Aged 25 to 34 years,231
E01000133,Aged 35 to 49 years,396
E01000133,Aged 50 to 64 years,304
E01000133,Aged 65 years and over,172
E01000134,Aged 15 years and under,406
E01000134,Aged 16 to 24 years,252
E01000134,Aged 25 to 34 years,311
E01000134,Aged 35 to 49 years,386
E01000134,Aged 50 to 64 years,289
E01000134,Aged 65 years and over,181
E01000135,Aged 15 years and under,312
E01000135,Aged 16 to 24 years,161
E01000135,Aged 25 to 34 years,232
E01000135,Aged 35 to 49 years,367
E01000135,Aged 50 to 64 years,293
E01000135,Aged 65 years and over,335
